total_pers;almenosuna;almenosu_1;nbi1_abs;nbi1_porc;nbi2_abs;nbi2_porc;nbi3_abs;nbi3_porc;nbi4_abs;nbi4_porc;nbi5_abs;nbi5_porc;cod_dpto;nom_dpto;cod_prov;nom_prov;cod_dist;nom_dist;num_hog;c1nbi_abs;c1nbi_porc;c2nbi_abs;c2nbi_porc;c3nbi_abs;c3nbi_porc;c4nbi_abs;c4nbi_porc;c5nbi_abs;c5nbi_porc;num_viv_pa;num_viv_op;vs_agua_rp;pvs_agua_r;vs_sh;pvs_sh;vs_aelec;pvs_aelec;v_ptierra;pv_ptierra;h_lenna;ph_lenna;hs_pclptb;phs_pclptb;hs_tcelu;phs_tcelu;hs_inter;phs_inter;v_1hab;pv_1hab;h_cocin;ph_cocin;sup_tot;pob_total;c5_p2_1;c5_p2_2;gr_quin_1;gr_quin_2;gr_quin_3;gr_quin_4;gr_quin_5;gr_edad_1;gr_edad_2;gr_edad_3;gr_edad_4;gr_edad_5;c5_p8_1;c5_p8_6;c5_p9_3;c5_p9_4;c5_p9_5;c5_p9_6;c5_p10_1;c5_p10_4;c5_p12_1;c5_p12_2;pet;pea;peao;pead;pei;p_sex_h;p_sex_m;p_ge_0a14;p_ge_15a29;p_ge_30a44;p_ge_45a64;p_ge_65ym;p_af_sis;p_af_ning;p_dl_hab;p_dl_mov;p_dl_ent;p_dl_rel;p_dni;p_no_docum;p_lees_si;p_lees_no;p_pet;p_pea;p_pea_o;p_pea_d;p_pei;pgr_quin1;pgr_quin2;pgr_quin3;pgr_quin4;pgr_quin5;fuente
4.041;900;22,3;29;0,7;429;10,6;131;3,2;47;1,2;364;9;3;APURIMAC;302;ANDAHUAYLAS;30220;JOSE MARIA ARGUEDAS;1.127;800;19,8;100;2,5;0;0;0;0;0;0;1.590;1.102;45;4,083484574;819;74,31941924;420;38,11252269;1.037;94,10163339;1.091;96,80567879;1.099;97,51552795;407;36,11357587;1.083;96,09582964;142;12,88566243;1.100;97,60425909;195,92;4.081;1.994;2.087;461;499;464;372;366;1.424;1.080;759;510;308;3.659;355;43;120;121;56;4.059;4;2.886;932;2.752;1.524;1.428;96;1.228;48,86057339;51,13942661;34,89340848;26,46410194;18,59838275;12,49693703;7,547169811;89,65939721;8,698848321;1,053663318;2,940455771;2,964959569;1,372212693;99,46091644;0,098015192;70,71796128;22,83753982;67,43445234;37,34378829;34,99142367;2,352364617;30,09066405;11,29625092;12,22739525;11,36976231;9,115412889;8,9683901;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
2.260;703;31,1;1;0;239;10,6;447;19,8;0;0;73;3,2;3;APURIMAC;304;AYMARAES;30415;TINTAY;849;646;28,6;57;2,5;0;0;0;0;0;0;2.267;832;97;11,65865385;614;73,79807692;115;13,82211538;715;85,9375;782;92,10836278;819;96,4664311;226;26,61955241;778;91,63722026;188;22,59615385;784;92,34393404;136,58;2.272;1.110;1.162;161;185;229;161;116;575;401;384;362;550;1.951;143;17;71;27;12;2.265;3;1.637;544;1.728;1.335;1.294;41;393;48,8556338;51,1443662;25,30809859;17,64964789;16,90140845;15,93309859;24,20774648;85,87147887;6,294014085;0,748239437;3,125;1,188380282;0,528169014;99,69190141;0,132042254;72,05105634;23,94366197;76,05633803;58,75880282;56,95422535;1,804577465;17,29753521;7,086267606;8,142605634;10,07922535;7,086267606;5,105633803;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
708;143;20,2;27;3,8;72;10,2;19;2,7;5;0,7;36;5,1;3;APURIMAC;302;ANDAHUAYLAS;30206;HUAYANA;262;134;18,9;2;0,3;7;1;0;0;0;0;580;256;12;4,6875;138;53,90625;118;46,09375;246;96,09375;248;94,65648855;261;99,61832061;127;48,47328244;259;98,85496183;67;26,171875;264;100,7633588;96,87;750;366;384;58;80;82;59;37;220;136;144;106;144;666;34;2;11;6;5;744;4;581;137;545;226;208;18;319;48,8;51,2;29,33333333;18,13333333;19,2;14,13333333;19,2;88,8;4,533333333;0,266666667;1,466666667;0,8;0,666666667;99,2;0,533333333;77,46666667;18,26666667;72,66666667;30,13333333;27,73333333;2,4;42,53333333;7,733333333;10,66666667;10,93333333;7,866666667;4,933333333;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
1.803;1.095;60,7;45;2,5;166;9,2;880;48,8;92;5,1;132;7,3;3;APURIMAC;304;AYMARAES;30404;CHAPIMARCA;727;904;50,1;169;9,4;15;0,8;7;0,4;0;0;1.159;721;280;38,83495146;482;66,85159501;214;29,68099861;618;85,71428571;695;95,59834938;711;97,79917469;272;37,41403026;721;99,17469051;239;33,14840499;732;100,6877579;213,09;1.893;933;960;145;147;176;123;97;468;314;323;356;432;1.658;126;30;154;53;26;1.889;2;1.356;456;1.465;593;528;65;872;49,28684628;50,71315372;24,72266244;16,58742736;17,06286318;18,80612784;22,82091918;87,58584258;6,656101426;1,584786054;8,135235077;2,799788695;1,373481247;99,78869519;0,105652404;71,63232964;24,08874802;77,39038563;31,32593767;27,89223455;3,433703117;46,06444797;7,65979926;7,765451664;9,297411516;6,497622821;5,124141574;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
683;64;9,4;0;0;35;5,1;10;1,5;5;0,7;14;2;3;APURIMAC;304;AYMARAES;30405;COLCABAMBA;268;64;9,4;0;0;0;0;0;0;0;0;615;260;5;1,923076923;69;26,53846154;29;11,15384615;230;88,46153846;250;93,28358209;260;97,01492537;57;21,26865672;268;100;43;16,53846154;255;95,14925373;95,75;693;336;357;51;59;69;58;46;179;144;95;107;168;626;30;9;55;16;1;693;0;523;143;532;354;313;41;178;48,48484848;51,51515152;25,82972583;20,77922078;13,70851371;15,44011544;24,24242424;90,33189033;4,329004329;1,298701299;7,936507937;2,308802309;0,144300144;100;0;75,46897547;20,63492063;76,76767677;51,08225108;45,16594517;5,916305916;25,68542569;7,359307359;8,513708514;9,956709957;8,369408369;6,637806638;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
1.660;818;49,3;172;10,4;320;19,3;568;34,2;16;1;62;3,7;3;APURIMAC;303;ANTABAMBA;30304;JUAN ESPINOZA MEDRANO;685;539;32,5;238;14,3;41;2,5;0;0;0;0;1.628;662;93;14,04833837;371;56,04229607;116;17,52265861;566;85,49848943;550;80,2919708;649;94,74452555;259;37,81021898;683;99,7080292;310;46,82779456;641;93,57664234;623,22;1.711;845;866;123;153;212;84;48;488;212;354;294;363;1.465;89;18;69;28;25;1.692;4;1.312;329;1.259;795;751;44;464;49,38632379;50,61367621;28,52133255;12,39041496;20,68965517;17,18293396;21,21566335;85,62244302;5,20163647;1,052016365;4,032729398;1,636469901;1,46113384;98,88953828;0,233781414;76,68030392;19,22852133;73,58270018;46,46405611;43,89246055;2,571595558;27,11864407;7,188778492;8,9421391;12,39041496;4,909409702;2,805376973;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
2.194;823;37,5;178;8,1;327;14,9;456;20,8;55;2,5;110;5;3;APURIMAC;304;AYMARAES;30406;COTARUSE;818;553;25,2;242;11;23;1;5;0,2;0;0;2.002;818;131;16,01466993;293;35,8190709;154;18,82640587;733;89,60880196;720;88,0195599;804;98,28850856;422;51,58924205;818;100;341;41,68704156;1.028;125,6723716;1.749,83;2.570;1.359;1.211;197;192;246;218;166;635;558;543;491;343;1.954;246;16;82;20;23;2.558;4;2.017;447;1.975;1.109;1.028;81;866;52,87937743;47,12062257;24,70817121;21,71206226;21,12840467;19,10505837;13,3463035;76,0311284;9,571984436;0,622568093;3,190661479;0,778210117;0,894941634;99,53307393;0,155642023;78,48249027;17,39299611;76,84824903;43,15175097;40;3,151750973;33,69649805;7,66536965;7,470817121;9,571984436;8,482490272;6,459143969;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
2.601;1.139;43,8;196;7,5;479;18,4;695;26,7;47;1,8;166;6,4;3;APURIMAC;303;ANTABAMBA;30301;ANTABAMBA;1.050;747;28,7;345;13,3;42;1,6;5;0,2;0;0;2.371;994;245;24,64788732;421;42,35412475;299;30,0804829;866;87,12273642;694;66,0952381;959;91,33333333;489;46,57142857;1.040;99,04761905;378;38,02816901;876;83,42857143;603,76;2.776;1.388;1.388;193;270;356;179;111;819;426;521;486;524;2.070;209;26;94;42;25;2.758;1;2.145;527;2.027;1.152;1.076;76;875;50;50;29,50288184;15,34582133;18,76801153;17,50720461;18,87608069;74,56772334;7,528818444;0,936599424;3,386167147;1,5129683;0,900576369;99,35158501;0,036023055;77,26945245;18,98414986;73,01873199;41,49855908;38,76080692;2,737752161;31,52017291;6,952449568;9,726224784;12,82420749;6,448126801;3,998559078;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
1.508;482;32;0;0;289;19,2;182;12,1;42;2,8;40;2,7;3;APURIMAC;304;AYMARAES;30409;LUCRE;522;421;27,9;51;3,4;10;0,7;0;0;0;0;1.384;519;41;7,899807322;184;35,45279383;66;12,71676301;488;94,02697495;514;98,46743295;518;99,23371648;179;34,29118774;510;97,70114943;206;39,69171484;515;98,65900383;110,48;1.529;749;780;143;129;189;131;63;461;284;250;205;329;1.432;57;8;13;10;6;1.528;0;970;480;1.116;797;774;23;319;48,98626553;51,01373447;30,15042511;18,57423152;16,35055592;13,40745585;21,51733159;93,6559843;3,72792675;0,523217789;0,850228908;0,654022237;0,392413342;99,93459778;0;63,44015697;31,39306736;72,98888162;52,12557227;50,62132112;1,504251145;20,86330935;9,352517986;8,436886854;12,36102027;8,567691302;4,120340092;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
1.610;679;42,2;169;10,5;408;25,3;95;5,9;21;1,3;229;14,2;3;APURIMAC;302;ANDAHUAYLAS;30214;SAN MIGUEL DE CHACCRAMPA;503;490;30,4;140;8,7;44;2,7;5;0,3;0;0;1.217;502;48;9,561752988;396;78,88446215;196;39,0438247;484;96,41434263;490;97,41550696;501;99,60238569;207;41,15308151;503;100;248;49,40239044;496;98,6083499;83,37;1.613;804;809;168;172;184;161;125;524;365;283;218;223;1.547;29;15;74;20;13;1.605;0;1.114;401;1.121;445;354;91;676;49,8450093;50,1549907;32,48605084;22,62864228;17,5449473;13,51518909;13,82517049;95,90824551;1,797892126;0,929944203;4,587724737;1,239925604;0,805951643;99,50402976;0;69,06385617;24,86050837;69,49783013;27,5883447;21,9466832;5,6416615;41,90948543;10,41537508;10,6633602;11,40731556;9,981401116;7,749535028;Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas
