cod_dist,nom_dpto,nom_prov,nom_dist,total_pers,pct_nbi,privaciones,categoria,pct_sin_internet,pct_ccpp_con_4g,n_estab_salud,n_hospitales,tiene_tambo,factor_dominante,intervencion,pct_nbi_predicho,impacto,priv_salud_1,priv_salud_2,priv_edu_1,priv_edu_2,priv_digital_1,priv_digital_2,priv_basic_1,priv_basic_2,priv_econ_1,priv_econ_2
30220,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,4041.0,22.3,4,moderado,96.09582964,25.0,2,0,False,pct_sin_saneamiento,Saneamiento (alcantarillado),24.813004,16164.0,0,0,0,1,1,1,0,1,0,0
30415,APURIMAC,AYMARAES,TINTAY,2260.0,31.1,4,moderado,91.63722026,32.26,4,0,False,pct_sin_saneamiento,Saneamiento (alcantarillado),31.122585,9040.0,0,0,0,1,1,1,0,1,0,0
30206,APURIMAC,ANDAHUAYLAS,HUAYANA,708.0,20.2,3,conectado,98.85496183,0.0,2,0,False,pct_sin_celular,Conectividad móvil,25.875076,2124.0,0,0,0,0,1,1,0,1,0,0
30404,APURIMAC,AYMARAES,CHAPIMARCA,1803.0,60.7,5,moderado,99.17469051,15.38,4,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),54.35848,9015.0,0,0,0,1,1,1,1,1,0,0
30405,APURIMAC,AYMARAES,COLCABAMBA,683.0,9.4,3,conectado,100.0,0.0,1,0,False,,,,2049.0,0,0,0,0,1,1,0,0,1,0
30304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,1660.0,49.3,5,moderado,99.7080292,0.0,5,0,True,km_hospital,Establecimiento de salud II-1+,48.540836,8300.0,1,0,1,0,1,1,0,1,0,0
30406,APURIMAC,AYMARAES,COTARUSE,2194.0,37.5,4,moderado,100.0,28.57,9,0,True,pct_sin_internet,Conectividad digital (internet fijo),39.636078,8776.0,1,0,0,0,1,1,0,1,0,0
30301,APURIMAC,ANTABAMBA,ANTABAMBA,2601.0,43.8,4,moderado,99.04761905,71.43,4,0,True,pct_sin_celular,Conectividad móvil,42.214268,10404.0,1,0,1,0,1,0,0,1,0,0
30409,APURIMAC,AYMARAES,LUCRE,1508.0,32.0,4,moderado,97.70114943,34.78,5,0,False,pct_no_sabe_leer,Programa de alfabetización,33.76641,6032.0,0,0,0,1,1,1,0,1,0,0
30214,APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,1610.0,42.2,5,moderado,100.0,0.0,4,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),42.924587,8050.0,0,0,0,1,1,1,0,1,1,0
30403,APURIMAC,AYMARAES,CARAYBAMBA,929.0,23.9,4,moderado,99.72899729,0.0,2,0,False,indice_aislamiento,Conectividad digital + acceso salud,26.520794,3716.0,1,0,0,0,1,1,0,0,1,0
30303,APURIMAC,ANTABAMBA,HUAQUIRCA,1354.0,47.7,4,moderado,99.39759036,80.0,6,0,False,indice_aislamiento,Conectividad digital + acceso salud,48.53338,5416.0,1,0,1,0,1,0,0,1,0,0
30307,APURIMAC,ANTABAMBA,SABAINO,1025.0,68.5,4,moderado,100.0,0.0,2,0,True,pct_sin_celular,Conectividad móvil,64.51177,4100.0,1,0,0,0,1,1,0,1,0,0
30410,APURIMAC,AYMARAES,POCOHUANCA,1003.0,23.9,5,moderado,99.76190476,0.0,4,0,False,pct_sin_internet,Conectividad digital (internet fijo),25.989155,5015.0,1,0,0,0,1,1,0,1,1,0
30305,APURIMAC,ANTABAMBA,OROPESA,2086.0,45.5,5,moderado,99.86702128,81.48,5,0,False,pct_sin_celular,Conectividad móvil,45.72503,10430.0,0,0,1,1,1,0,1,1,0,0
30417,APURIMAC,AYMARAES,YANACA,930.0,39.7,5,moderado,100.0,0.0,3,0,True,,,,4650.0,1,0,0,0,1,1,1,1,0,0
30504,APURIMAC,COTABAMBAS,HAQUIRA,9210.0,27.5,5,moderado,97.98103396,38.89,15,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),34.55349,46050.0,0,0,0,1,1,1,1,1,0,0
30708,APURIMAC,GRAU,PROGRESO,2806.0,52.6,5,moderado,99.45295405,0.0,5,0,False,pct_sin_saneamiento,Saneamiento (alcantarillado),52.96623,14030.0,0,0,0,1,1,1,1,1,0,0
30713,APURIMAC,GRAU,VIRUNDO,675.0,29.9,5,moderado,99.17695473,0.0,1,0,False,pct_sin_documento,Campaña RENIEC (documentación),30.402044,3375.0,1,0,0,1,1,1,0,0,1,0
30401,APURIMAC,AYMARAES,CHALHUANCA,4312.0,24.8,2,conectado,93.70771313,61.29,3,0,False,pct_sin_luz,Electrificación rural,28.342909,8624.0,1,0,0,0,1,0,0,0,0,0
30705,APURIMAC,GRAU,MAMARA,751.0,51.5,4,moderado,100.0,0.0,1,0,True,pct_sin_celular,Conectividad móvil,46.24054,3004.0,0,0,0,0,1,1,0,1,1,0
30413,APURIMAC,AYMARAES,SORAYA,706.0,39.1,4,moderado,96.36363636,0.0,2,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),39.540207,2824.0,0,0,0,1,1,1,0,1,0,0
30711,APURIMAC,GRAU,TURPAY,628.0,43.2,3,conectado,96.61654135,0.0,1,0,False,pct_sin_celular,Conectividad móvil,42.225304,1884.0,0,0,0,0,1,1,0,1,0,0
30701,APURIMAC,GRAU,CHUQUIBAMBILLA,4580.0,42.5,4,moderado,99.5641345,39.39,7,0,True,pct_sin_celular,Conectividad móvil,37.572468,18320.0,0,0,0,0,1,1,0,1,1,0
30709,APURIMAC,GRAU,SAN ANTONIO,272.0,34.6,4,moderado,100.0,65.96,1,0,False,pct_sin_internet,Conectividad digital (internet fijo),36.22236,1088.0,0,0,0,0,1,0,1,1,1,0
30707,APURIMAC,GRAU,PATAYPAMPA,798.0,68.2,6,moderado,100.0,0.0,2,0,False,pct_sin_celular,Conectividad móvil,64.23942,4788.0,1,0,0,0,1,1,1,1,1,0
30412,APURIMAC,AYMARAES,SAÑAYCA,1072.0,24.4,3,conectado,93.88753056,0.0,3,0,False,km_salud_cercano,Establecimiento de salud,24.346138,3216.0,1,0,0,0,1,1,0,0,0,0
30306,APURIMAC,ANTABAMBA,PACHACONAS,924.0,49.7,4,moderado,100.0,0.0,3,0,False,pct_sin_documento,Campaña RENIEC (documentación),48.607697,3696.0,1,0,0,0,1,1,0,1,0,0
30710,APURIMAC,GRAU,SANTA ROSA,560.0,16.4,5,moderado,100.0,0.0,2,0,False,,,,2800.0,0,0,0,1,1,1,0,1,1,0
30506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,10485.0,35.6,3,conectado,96.03062092,82.61,12,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),36.438427,31455.0,0,1,0,0,1,0,0,1,0,0
30210,APURIMAC,ANDAHUAYLAS,PAMPACHIRI,2167.0,40.1,4,moderado,99.58734525,50.0,4,0,False,pct_sin_saneamiento,Saneamiento (alcantarillado),41.730675,8668.0,1,0,0,1,1,0,0,1,0,0
30414,APURIMAC,AYMARAES,TAPAIRIHUA,1795.0,36.7,4,moderado,100.0,75.0,4,0,True,pct_no_sabe_leer,Programa de alfabetización,37.164486,7180.0,0,0,0,1,1,0,0,1,1,0
