ranking,cod_dist,nom_dpto,nom_prov,nom_dist,total_pers,pct_nbi,privaciones,categoria,pct_sin_internet,pct_ccpp_con_4g,n_estab_salud,n_hospitales,tiene_tambo,factor_dominante,intervencion,pct_nbi_predicho,impacto
1,250201,UCAYALI,ATALAYA,RAIMONDI,31664.0,69.8,7,desierto,95.3806035,25.0,16,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),71.49877,221648.0
2,170103,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,12415.0,39.8,7,desierto,91.9273743,35.0,10,0,False,pct_sin_documento,Campaña RENIEC (documentación),40.07803,86905.0
3,160305,LORETO,LORETO,URARINAS,11376.0,73.5,7,desierto,99.41588785,0.0,9,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),76.30295,79632.0
4,250104,UCAYALI,CORONEL PORTILLO,MASISEA,11091.0,91.8,7,desierto,99.77160259,37.5,25,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),91.91035,77637.0
5,170102,MADRE DE DIOS,TAMBOPATA,INAMBARI,10973.0,43.5,7,desierto,90.70430567,33.33,14,0,False,pct_sin_documento,Campaña RENIEC (documentación),45.225494,76811.0
6,250203,UCAYALI,ATALAYA,TAHUANIA,8177.0,83.1,8,desierto,99.12109375,0.0,7,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),82.13815,65416.0
7,210405,PUNO,CHUCUITO,PISACOMA,8137.0,54.9,8,desierto,99.53354862,41.18,4,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),56.407177,65096.0
8,210303,PUNO,CARABAYA,AYAPATA,9299.0,61.4,7,desierto,98.65648051,7.14,6,0,False,pct_sin_saneamiento,Saneamiento (alcantarillado),62.518845,65093.0
9,10402,AMAZONAS,CONDORCANQUI,EL CENEPA,9122.0,91.1,7,desierto,100.0,0.0,18,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),91.303925,63854.0
10,210306,PUNO,CARABAYA,CRUCERO,8961.0,27.8,7,desierto,99.45522642,2.86,4,0,True,km_salud_cercano,Establecimiento de salud,28.491125,62727.0
11,211210,PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,8811.0,57.4,7,desierto,99.74916388,33.33,7,0,False,pct_sin_saneamiento,Saneamiento (alcantarillado),60.3329,61677.0
12,160403,LORETO,MARISCAL RAMON CASTILLA,YAVARI,8181.0,50.4,7,desierto,99.67707212,0.0,4,0,True,pct_sin_saneamiento,Saneamiento (alcantarillado),55.2136,57267.0
13,170204,MADRE DE DIOS,MANU,HUEPETUHE,8046.0,61.6,7,desierto,96.24395686,30.0,7,0,False,pct_sin_documento,Campaña RENIEC (documentación),56.348637,56322.0
